exam_fin,category_count,category_default_policy_pct,category_baseline_pct,category_floor_pct,category_cap_pct,category_organic_share,category_high_discount_share,category_coupon_share,category_volatility,category_avg_order_value,category_support_weight,category_baseline_bucket
ACCA,375,6.67,6.67,10.0,15.39,0.034666666666666665,0.013333333333333334,0.98222226,6.7094097,8100.0,0.4892810809664228,10.0
AE/JE,24411,8.34,7.5,0.0,15.0,0.13309573552906476,0.008602679120068821,0.9319245,6.074687,2499.0,0.8336367848620075,10.0
Agriculture Wallah,845,5.0,5.0,10.0,20.02,0.007100591715976331,0.021301775147928994,0.9964497,5.9769893,2999.0,0.5561951290031184,10.0
BFSI,190,19.26,18.19,5.41,22.22,0.05263157894736842,0.06315789473684211,0.9736842,7.999774,18499.0,0.4333922567418761,20.0
BPSC,7396,10.0,10.0,0.0,22.23,0.11519740400216333,0.023255813953488372,0.94069415,5.5119247,4499.0,0.7351136419684595,10.0
Banking,21985,8.0,8.0,3.57,15.4,0.08505799408687742,0.042756424835114853,0.9570476,7.835287,2299.0,0.8250000100762873,10.0
Bharat Batch,178,4.44,4.44,10.0,10.0,0.0,0.0,1.0,1.0875349,4500.0,0.4280380432936099,10.0
Bihar State Board,409,14.3,14.3,10.0,22.25,0.03667481662591687,0.02444987775061125,0.9820701,6.7860937,1299.0,0.49642425591029543,15.0
CA Inter & Fond Online,25181,5.0,5.0,0.0,10.0,0.17179619554425957,0.011119494857233628,0.9123359,4.4726844,6000.0,0.836199263799627,10.0
CBSE Board,26680,7.55,6.9,2.26,30.0,0.09355322338830585,0.10213643178410794,0.95281273,10.338638,2999.0,0.8409704766667209,10.0
CLAT Online,6925,5.0,5.0,10.0,10.186,0.048808664259927796,0.01747292418772563,0.9748135,5.250372,10499.0,0.7296847981313742,10.0
COMMERCE,24138,5.0,5.0,0.0,12.0,0.10837683320904798,0.0021542795592012593,0.9456666,4.400717,3499.0,0.832708817159274,10.0
CS Online,3397,5.0,5.0,0.0,10.0,0.2113629673241095,0.010303208713570797,0.8918016,4.048265,4099.0,0.6709261202939364,10.0
CSIR NET,8501,5.0,5.0,3.33,10.0,0.07352076226326315,0.0,0.96298474,2.0135913,4499.0,0.7466019753021794,10.0
CUET PG,780,7.14,7.14,10.0,10.0,0.015384615384615385,0.001282051282051282,0.99230766,2.675003,3499.0,0.549598518609769,10.0
Curious Junior,2,10.115,10.115,10.063,10.167,0.0,0.0,1.0,0.09192396,153.2857,0.1,15.0
DESIGN_WALLAH,607,8.33,6.25,2.424,18.19,0.09719934102141681,0.05271828665568369,0.9452224,7.051006,7000.0,0.5289366968921524,10.0
Defence Online,19913,10.0,6.0,0.0,45.14,0.22065987043639834,0.2420529302465726,0.88815683,12.954623,2799.0,0.8168324200642022,10.0
English Wing,150,4.65,4.365,10.0,10.0,0.006666666666666667,0.006666666666666667,0.99666667,4.687027,4299.0,0.4140017196308514,10.0
